id,sha_fail,file_match,fl_accuracy,num_ground_truth_files,num_predicted_files,num_matched_files,num_correctly_localized_files,ground_truth_files,predicted_files,matched_files,correctly_localized_files
1,2c06ffa4c9d2c37846c60ad75899b4d72f214ff9,1.0,1.0,1,1,1,1,examples/community/ip_adapter_face_id.py,examples/community/ip_adapter_face_id.py,examples/community/ip_adapter_face_id.py,examples/community/ip_adapter_face_id.py
2,db6550a228941b538f340fb5b65ed16c43a21b88,1.0,1.0,1,1,1,1,src/diffusers/loaders/ip_adapter.py,src/diffusers/loaders/ip_adapter.py,src/diffusers/loaders/ip_adapter.py,src/diffusers/loaders/ip_adapter.py
3,102f918deb2532bb7b825f00258f2c1414cf94da,0.0,0.0,1,2,0,0,mindsdb/__main__.py,requirements/requirements.txt | tests/scripts/check_requirements.py,,
4,2e41e783672597e2e0c7b2842b5934d879374028,0.5,0.5,2,1,1,1,sanic/__version__.py | tests/test_websockets.py,tests/test_websockets.py,tests/test_websockets.py,tests/test_websockets.py
5,d1b0280fb92d0d8590cf403ca46af3550507d4d2,0.0,0.0,1,2,0,0,tornado/test/iostream_test.py,tornado/platform/asyncio.py | tornado/testing.py,,
6,f18f82de3e0270f6dfddf22f1f487104b2428e35,1.0,1.0,1,1,1,1,tests/unittests/sources/test_wsl.py,tests/unittests/sources/test_wsl.py,tests/unittests/sources/test_wsl.py,tests/unittests/sources/test_wsl.py
7,55d2e8d4abb024997be878797d5625effad65d43,1.0,1.0,1,1,1,1,tests/unittests/test_net_activators.py,tests/unittests/test_net_activators.py,tests/unittests/test_net_activators.py,tests/unittests/test_net_activators.py
8,385c14d0ae500918cff5565ea836884bfaa2bfa5,1.0,0.5,2,2,2,1,cloudinit/net/dhcp.py | tests/unittests/net/test_dhcp.py,cloudinit/net/dhcp.py | tests/unittests/net/test_dhcp.py,cloudinit/net/dhcp.py | tests/unittests/net/test_dhcp.py,cloudinit/net/dhcp.py
9,4d5898b8a73c93e1ed4434744c2fa7c3f7fbd501,0.125,0.125,8,1,1,1,cloudinit/distros/__init__.py | cloudinit/net/dhcp.py | cloudinit/sources/__init__.py | tests/unittests/net/test_dhcp.py | tests/unittests/sources/test_cloudstack.py | tests/unittests/sources/test_ec2.py | tests/unittests/sources/test_init.py | tests/unittests/sources/test_openstack.py,cloudinit/net/dhcp.py,cloudinit/net/dhcp.py,cloudinit/net/dhcp.py
10,ecb486addc70aecc9b28f2b30a77eaf2fd587091,0.5,0.5,2,1,1,1,cloudinit/distros/__init__.py | cloudinit/sources/DataSourceCloudStack.py,cloudinit/distros/__init__.py,cloudinit/distros/__init__.py,cloudinit/distros/__init__.py
11,cced5b5d68a3fe1a02d8ac1186e9d12b6c75dc8d,0.0,0.0,1,0,0,0,sky/resources.py,,,
12,edaf59b69f96acdf155c4514061ea648ea6df122,0.3333,0.3333,3,1,1,1,sky/backends/cloud_vm_ray_backend.py | sky/data/sky_csync.py | sky/data/storage.py,sky/data/storage.py,sky/data/storage.py,sky/data/storage.py
13,b639adb71066410b3b12d97a674ee7fcb51e9980,1.0,1.0,1,1,1,1,sky/resources.py,sky/resources.py,sky/resources.py,sky/resources.py
